Extractor1,Extractor2,Full name of the society,Society info source,Society base country,Society type,"EDI (Equity, Diversity, Inclusion) statement present","EDI (Equity, Diversity, Inclusion) structure present",EDI comment,Fees info source,Currency of society fees,Standard individual regular membership fee per year,Comment on the standard individual regular membership fee per year,Standard individual student membership fee per year,Comment on the standard individual student membership fee per year,Standard individual postdoc membership fee per year,Comment on the standard individual postdoc membership fee per year,Eligibility timeframe for standard individual postdoc membership fee,Comment on the eligibility timeframe for standard individual postdoc membership fee,Discounted fees available for individual members from some countries or regions,Countries or regions eligible for discounted/waived fees,Comment on countries or regions eligible for discounted/waived fees,Increased fees imposed on individual members from some countries or regions (e.g. outside society’s home country),Countries or regions eligible for increased fees,Comment on countries or regions eligible for increased fees,Discounted individual membership fees available for the following groups,Comment on groups eligible for discounted fees,Complete or partial individual membership fee waivers available on individual request,Comment on individual requests for discounted fees or waivers,Voluntary donations not linked to membership application,Comment on voluntary donations not linked to membership application,Individual full membership benefits,Comment on society membership benefits,Comments_general,Censor-irrelevant,Censor-noinfo,Multiple-currencies,Extractor1,Extractor2
Kevin R. Bairos-Novak,Zhenzhuo Xian,Society for Vector Ecology European Region,https://www.sove.org/european-sove,USA,International by name,no,no,,https://www.sove.org/membership-renewal,USD,70,"Regular Membership: Any person with an academic degree from an accredited college or university, plus two or more years of experience in the field of vector ecology or in related fields or with equivalent merits and experience may become a regular member. Education beyond the bachelor degree or equivalent may be substituted for experience. Regular members shall pay annual dues as set forth by the Board. Regular members will receive Bulletin and Newsletter free of charge and are eligible to participate in the affairs of the Society and vote on issues.",35,"Student Membership: Any student enrolled full-time in a college or university is eligible to become a student member. Student members pay one-half of the regular member dues and are entitled to the same privileges as regular members, but cannot hold office. To qualify, the students must be certified by an advisor or department head each year",,,,,no,,,no,,,"student, retired/emeritus",,no,,no,,Journal subscription discount or waiver,,"Europe site lists California as home base, but probably is another base in Europe that is not listed. This organisation is again just the European chapter of SOVE",0,0,0,Kevin R. Bairos-Novak,Zhenzhuo Xian
Kevin R. Bairos-Novak,Zhenzhuo Xian,Society for Vector Ecology Indian Region,https://www.soveindia.org,India,International by name,no,no,,https://www.soveindia.org/web/wp-content/uploads/2017/11/SOVE-Membership-Form1.pdf,INR,4500,http://www.soveindia.org/web/wp-content/uploads/2017/11/SOVE-Membership-Form1.pdf,2250,http://www.soveindia.org/web/wp-content/uploads/2017/11/SOVE-Membership-Form1.pdf,,,,,no,,,no,,,"student, retired/emeritus, other",HONORARY MEMBERSHIP: An honorary membership may be conferred upon regular members who have long served in the field of vector ecology. Honorary membership shall pay no dues and are entitled to the same privileges as regular members. ,no,,no,"They don't have a donation option, but have an option for Sustaining Membership

SUSTAINING MEMBERSHIP: Any agency, organization or individual who desires to contribute financially to the purpose and objective of this Society may become a sustaining member by paying dues set by the Board. Names of sustaining members will be listed once a year in the newsletter and annual program of SOVE (Indian Region). Sustaining members have the same rights and privileges as regular members except they cannot vote or hold office. 

Sustaining Member: Rs. 13000.00",Journal subscription discount or waiver,These are somewhat unclear from the website - cannot find much more information,This journal is extremely India-specific - as an Indian chapter; not sure if it should be included given it is not international in scope despite originating as an international group borne in the USA,0,0,0,Kevin R. Bairos-Novak,Zhenzhuo Xian
Joanna Rutkowska,Zhenzhuo Xian,Society of Environmental Toxicology and Chemistry,https://www.setac.org/,USA,International by chapter,yes,no,https://www.setac.org/learn-about-setac/policies/inclusion-strategy.html,https://www.setac.org/join-setac-today/member-dues-and-benefits.html,USD,160,"Professional Full, but there is also Explorer fee",40,Student,,,,,yes,Residents of low- and middle-income countries (75% discount),,no,,https://blogs.worldbank.org/opendata/new-world-bank-country-classifications-income-level-2022-2023,"student, other","""Recent gradate"" (50% disciunt), but no details specified",yes,"If you are on family leave or a senior active member and want to take advantage of discounted membership rates, please contact the SETAC office.",no,,"Conference registration discount or waiver, Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","1. FREE:
1.1. Participate in SETAC activities (register for a meeting, propose a session, etc.)
1.2. Free access to: Assorted SETAC Books, SETAC Science Briefs, SETAC Technical Issue Papers
1.3. Free subscription to: SETAC News, SETAC Globe
1.4. Free job hunting in SETAC Career Center
2. EXPLORER
Includes FREE benefits plus:
2.1 Free access to: Membership directory, Mentoring program
2.2 Eligibility to join: SETAC Interest Groups, SETAC Affinity Groups
2.3 Free registration for:
SETAC Cafés
SETAC Webinars
3. FULL
Includes EXPLORER benefits plus:
3.1 Free subscription to the SETAC journals ET&C and IEAM
3.2 20% reduction on open access fees
3.3 Eligibility to participate in society governance, including boards, councils and committees
3.4 Reduced meeting registrations for loyal members",,0,0,1,Joanna Rutkowska,Zhenzhuo Xian
Ayumi Mizuno,Shinichi Nakagawa,Society of Population Ecology,https://www.population-ecology.jp,Japan,International by aims or scope of activities,no,no,,https://www.population-ecology.jp/%E4%BC%9A%E5%93%A1%E6%89%8B%E7%B6%9A/,JPY,7500,,2000,,,,,,yes,outside Japan,,no,,,student,,no,,yes,Donation membership (pay more),"Conference registration discount or waiver, Journal subscription discount or waiver","Although it was not stated on the society website, annual meeting participation fees are reduced if an attendee is the society member. In addition, only members can give talks at the conference (I have checked this on several previous conference websites).",,0,0,0,Ayumi Mizuno,Shinichi Nakagawa
Nina Trubanová,Szymon Drobniak,Society of Systematic Biologists,https://www.systbio.org/,USA,International by aims or scope of activities,yes,yes,https://www.systbio.org/dei-committee.html,https://webcache.googleusercontent.com/search?q=cache:VD9ELqCKOzoJ:https://scienceserv.com/ssb/membercart/index.php&hl=en&gl=ie,USD,48,"The website (https://scienceserv.com/ssb/) is currently down. Information on membership fees was retrieved from the cached version. It is possible that the page will be soon updated with different fees, but at the moment these are:
Regular Member 1 Year Online Only US$48.00
Regular Member 2 Years Online Only US$86.00
Regular Member 3 Years Online Only US$122.00
Regular Member 1 Year Print & Online US$64.00
Regular Member 2 Years Print & Online US$115.00
Regular Member 3 Years Print & Online US$163.00",20,"Student Member 1 Year Online Only US$20.00
Student Member 2 Years Online Only US$36.00
Student Member 3 Years Online Only US$51.00
Student Member 1 Year Print & Online US$28.00
Student Member 2 Years Print & Online US$52.00
Student Member 3 Years Print & Online US$75.00",,,,,no,,,no,,,"student, retired/emeritus","Emeritus Member 1 Year Online Only US$8.00
Emeritus Member 2 Years Online Only US$14.00
Emeritus Member 3 Years Online Only US$20.00
Emeritus Member 1 Year Print & Online US$16.00
Emeritus Member 2 Years Print & Online US$29.00
Emeritus Member 3 Years Print & Online US$41.00",no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Nina Trubanová,Szymon Drobniak
Dylan G. E. Gomes,Kevin R. Bairos-Novak,Society of Vertebrate Paleontology,https://vertpaleo.org/,USA,International by aims or scope of activities,yes,yes,https://vertpaleo.org/code-of-conduct/,https://vertpaleo.org/join-the-society/,USD,150,,50,,56.67,3-year early-career research term is $170 (170/3 = 56.666),3,,yes,Any country with an HDI < 0.85 will receive some sort of discount (https://hdr.undp.org/data-center/country-insights#/ranks),"Multiple discount levels. 
""Regular Member currently residing in a Middle-HDI Country
*as defined here as those nations with a UN HDI index of 0.85-0.55
Regular Member currently residing in a Developing Country
**as defined here as those nations with a UN HDI index of <0.55""",no,,,"student, postdoc / ECR (excluding students), retired/emeritus, junior, other",Institutional memberships available for applications by institutions in developing nations or institutions lacking funds; Additional categories for donations with membership,no,,yes,https://vertpaleo.org/donate-to-svp/,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Dylan G. E. Gomes,Kevin R. Bairos-Novak
Matthieu Paquet,Michael Bertram,Society of Wetland Scientists,https://www.sws.org/,USA,"International by chapter, International by aims or scope of activities",yes,yes,https://www.sws.org/committees/,https://www.sws.org/sws-membership-benefits/,USD,167,from 75 to 167 USD depending on income,30,,,,,,yes,,"""developing countries"" from this list https://societyofwetlandscientists.growthzoneapp.com/ap/CloudFile/Download/LmmOmEBL
but not sure what these categories stand for as the fee is unique for all 10USD",no,,,"student, retired/emeritus, family, no fees",the no fee is only for people from developing countries see below,yes,"A limited number of Gratis Memberships are awarded to individuals from developing countries on a competitive basis. To qualify for a Gratis Membership, the applicant must work and live in a developing country, receive their full income from such a country, and earn less than $40,000 USD annually.
https://fs24.formsite.com/SWS2015/sqd4g4yxrv/index.html",yes,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Matthieu Paquet,Michael Bertram
Caleb Onoja Akogwu,Yefeng Yang,Southern African Society of Aquatic Scientists,https://www.riv.co.za/sasaqs/,South Africa,"National by name, International by chapter",no,no,,"https://www.riv.co.za/sasaqs/Membership.html, https://www.riv.co.za/sasaqs/pdf/SASAQS_CONSTITUTION.pdf",ZAR,500,"In their constitution, it was only student membership that was stated to be three years.
Full	R 500.00
https://www.riv.co.za/sasaqs/Membership.html
https://www.riv.co.za/sasaqs/pdf/SASAQS_CONSTITUTION.pdf",50,"In their constitution, it was only student membership that was stated to be three years.
Student	R 50.00
https://www.riv.co.za/sasaqs/Membership.html
https://www.riv.co.za/sasaqs/pdf/SASAQS_CONSTITUTION.pdf",,,,,yes,"Applications for fee reduction, from deserving members in African states outside of South Africa where currency exchange rates make the subscriptions unacceptably high, will be entertained.",,yes,,,student,,yes,"Applications for fee reduction, from deserving members in African states outside of South Africa where currency exchange rates make the subscriptions unacceptably high, will be entertained.",no,,Journal subscription discount or waiver,"Only full membership includes online access to the African Journal of Aquatic Science.
https://www.riv.co.za/sasaqs/Membership.html","HEADQUARTERS
The headquarters shall not normally remain in any one centre for more than four consecutive years.
If, however, no alternative centre is proposed, this period may be extended.",0,0,0,Caleb Onoja Akogwu,Yefeng Yang
Joanna Rutkowska,Michael Bertram,Southwestern Association of Naturalists,https://saon.wildapricot.org/,USA,International by aims or scope of activities,no,no,,https://saon.wildapricot.org/join-us,USD,35,Regular,15,Student,,,,,no,,,no,,,"student, family, other",Also another category called a 'Sustaining' member but it isn't clear what that is.,no,,yes,,"Journal subscription discount or waiver, Other","Members are entitled to participate in the Annual Business Meeting, to vote, to serve as Officers, to serve on the Board of Governors, and to receive The Southwestern Naturalist free of charge.",,0,0,0,Joanna Rutkowska,Michael Bertram
Eli Thoré,Patrice Pottier,Swiss Entomological Society,https://entomo.ch/en,Switzerland,"National by name, International by aims or scope of activities",no,no,,https://entomo.ch/en/portrait/membership,CHF,60,,30,Students can only be members for a maximum of 5 years.,,,,,no,,,yes,outside of Switzerland,"""an additional CHF 15 will be charged to those who wish to receive a printed copy of Alpine Entomology""",student,,no,,no,,"Funding (e.g., travel awards/grants, research funding, prizes)",Membership benefits are unclear.,,0,0,0,Eli Thoré,Patrice Pottier
